ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags,Software,Tipo,SEO Keyword,Meta Description
1,simple,CTM-0001,Gestión de la Experiencia del Cliente (CX),1,Servicios de consultoría y ejecución de programas de gestión de la experiencia del cliente.,"Servicios de consultoría y ejecución de programas de gestión de la experiencia del cliente. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Gestión de la Experiencia del Cliente (CX)""? Solicitá una demo sin cargo.",1,21.00,Soporte,"Clientum,Consultoría,Multiplataforma,Soporte",Multiplataforma,Consultoría,soporte consultoría,Gestión de la Experiencia del Cliente (CX): Servicios de consultoría y ejecución de programas de gestión de la experiencia del cliente. Pedí tu presupuesto con Clientum.
2,simple,CTM-0002,Systems Maintenance,1,Mantenimiento de sistemas it.,"Mantenimiento de sistemas it. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Systems Maintenance""? Solicitá una demo sin cargo.",1,2025.00,Soporte,"Clientum,Multiplataforma,Soporte",Multiplataforma,Soporte,soporte soporte,Systems Maintenance: Mantenimiento de sistemas it. Pedí tu presupuesto con Clientum.
3,simple,CTM-0003,Servicios de monitoreo y gestión de infraestructura IT,1,Monitoreo y gestión de infraestructura it.,"Monitoreo y gestión de infraestructura it. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Servicios de monitoreo y gestión de infraestructura IT""? Solicitá una demo sin cargo.",1,2025.00,Soporte,"Clientum,Multiplataforma,Soporte",Multiplataforma,Soporte,soporte soporte,Servicios de monitoreo y gestión de infraestructura IT: Monitoreo y gestión de infraestructura it. Pedí tu presupuesto con Clientum.
4,simple,CTM-0004,Servicios de auditoría y cumplimiento normativo,1,Servicios de consultoría y auditoría para garantizar el cumplimiento de requisitos legales y normativos.,"Servicios de consultoría y auditoría para garantizar el cumplimiento de requisitos legales y normativos. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Servicios de auditoría y cumplimiento normativo""? Solicitá una demo sin cargo.",1,195.00,Soporte,"Clientum,Consultoría,Multiplataforma,Soporte",Multiplataforma,Consultoría,soporte consultoría,Servicios de auditoría y cumplimiento normativo: Servicios de consultoría y auditoría para garantizar el cumplimiento de requisitos legales y norma... Pedí tu presupuesto con Clientum.
5,simple,CTM-0005,IT Support Package,1,Soporte técnico it.,"Soporte técnico it. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""IT Support Package""? Solicitá una demo sin cargo.",1,195.00,Soporte,"Clientum,Multiplataforma,Soporte",Multiplataforma,Soporte,soporte soporte,IT Support Package: Soporte técnico it. Pedí tu presupuesto con Clientum.
6,simple,CTM-0006,Desarrollo de chatbots,1,"Servicio de desarrollo de chatbot de soporte al cliente para ecommerce: mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora.","Servicio de desarrollo de chatbot de soporte al cliente para ecommerce: mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Desarrollo de chatbots""? Solicitá una demo sin cargo.",1,1875.00,Soporte,"Clientum,Multiplataforma,Soporte",Multiplataforma,Soporte,soporte soporte,"Desarrollo de chatbots: Servicio de desarrollo de chatbot de soporte al cliente para ecommerce: mejora la experiencia del cliente, reduce costos y... Pedí tu presupuesto con Clientum."
7,simple,CTM-0007,Automatización de Servicio al Cliente,1,Automatización del servicio al cliente.,"Automatización del servicio al cliente. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Automatización de Servicio al Cliente""? Solicitá una demo sin cargo.",1,1875.00,Soporte,"Clientum,Implementación,Multiplataforma,Soporte",Multiplataforma,Implementación,soporte implementación,Automatización de Servicio al Cliente: Automatización del servicio al cliente. Pedí tu presupuesto con Clientum.
8,simple,CTM-0008,Montaje de eventos,1,Servicio integral de montaje y producción técnica de eventos corporativos o sociales.,"Servicio integral de montaje y producción técnica de eventos corporativos o sociales. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Montaje de eventos""? Solicitá una demo sin cargo.",1,18.00,Soporte,"Clientum,Implementación,Multiplataforma,Soporte",Multiplataforma,Implementación,soporte implementación,Montaje de eventos: Servicio integral de montaje y producción técnica de eventos corporativos o sociales. Pedí tu presupuesto con Clientum.
9,simple,CTM-0009,Soporte Técnico Continuo,1,Soporte post-implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos.,"Soporte post-implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Soporte Técnico Continuo""? Solicitá una demo sin cargo.",1,1725.00,Soporte,"Clientum,Multiplataforma,Soporte",Multiplataforma,Soporte,soporte soporte,Soporte Técnico Continuo: Soporte post-implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos. Pedí tu presupuesto con Clientum.
10,simple,CTM-0010,Soporte Remoto,1,Soporte técnico a distancia.,"Soporte técnico a distancia. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Soporte Remoto""? Solicitá una demo sin cargo.",1,1725.00,Soporte,"Clientum,Multiplataforma,Soporte",Multiplataforma,Soporte,soporte soporte,Soporte Remoto: Soporte técnico a distancia. Pedí tu presupuesto con Clientum.
11,simple,CTM-0011,Mantenimiento preventivo,1,Servicios de mantenimiento y soporte técnico para infraestructura y sistemas informáticos.,"Servicios de mantenimiento y soporte técnico para infraestructura y sistemas informáticos. Pensado para PyMEs que buscan resolver incidentes técnicos con rapidez y sin fricción. Incluye acompañamiento del equipo de Clientum durante toda la implementación y soporte post-entrega. ¿Querés más información sobre ""Mantenimiento preventivo""? Solicitá una demo sin cargo.",1,165.00,Soporte,"Clientum,Multiplataforma,Soporte",Multiplataforma,Soporte,soporte soporte,Mantenimiento preventivo: Servicios de mantenimiento y soporte técnico para infraestructura y sistemas informáticos. Pedí tu presupuesto con Clientum.
