page_id,page_nombre,url,tipo_pagina,titulo_principal,subtitulo,descripcion_principal,textos_cuerpo,ctas,metricas
"inicio","Inicio / Home","/#inicio","Home / Landing principal","Todo lo que tu empresa necesita, en una sola plataforma.","Plataforma All-in-One para PyMEs","CRM, Chatbot WhatsApp con IA, E-Commerce, ERP, Business Intelligence, Marketing Digital, Ciberseguridad, Cloud, Apps Móviles y Capacitación — el ecosistema completo de Clientum para hacer crecer tu PyME.","Sin contrato mínimo | Implementado en 5 días | Soporte en español 24/7 || Solicitá un Presupuesto Gratuito: Cargá tus datos y el equipo de Clientum te enviará una demo adaptada a tu escala. || Software de Gestión: Un software completo para gestionar todos sus negocios. Sistemas integrados de gestión necesarios para las distintas áreas de su empresa en una única plataforma. || E-Commerce: Desarrollo de sitios web con tecnología omnicanal. Digitalización de su negocio con herramientas analíticas, marketing y diseño. || Business Intelligence: Seguimiento de las principales métricas de negocio y gestión. || Nube Viaweb: ¿Está preparada tu empresa para migrar a la nube? Hacé tu Autodiagnóstico Cloud sin costo. || La transformación digital en tiempos de incertidumbre — Ciclo de charlas sobre transformación digital para empresas. [Próximamente] || Por qué Clientum: Tu negocio pierde ventas mientras alguien no contesta el WhatsApp. Clientum automatiza la atención, el seguimiento de leads y la gestión de tu PyME con inteligencia artificial: sin perfil técnico, sin vueltas, funcionando en días. || Problemas: Respuestas lentas = ventas perdidas | Presupuestos y stock a mano | Cero seguimiento || Soluciones: Chatbot con IA 24/7 | CRM + reportes en vivo | Presupuestos automáticos | Integraciones que ya usás || Testimonio: 'Ahora sabemos exactamente qué repuestos tenemos sin revisar papeles. Las facturas salen solas.' — Estudio Méndez & Asoc., General Roca || Métricas: 24/7 Atención automática por IA | 5-7 Días hábiles para arrancar (Plan Starter) | 30 Días de soporte incluido | 0 Conocimiento técnico requerido || Diagnóstico gratuito: 60 minutos para mostrarte cuánto tiempo y dinero podés ahorrar con IA en tu PyME. Sin costo · Sin compromiso || Confían en Clientum: Distribuidoras | Retail & E-Commerce | Estudios Contables | Salud & Bienestar | Gastronomía | Inmobiliarias || Nuestros Servicios Más Contratados (datos dinámicos desde brochure) || Métricas de impacto: +30% Eficiencia Operativa | +40% Satisfacción Cliente | -25% Costos Administrativos || Enfócate en lo estratégico, nosotros automatizamos el resto || Medir es conocer: Inteligencia de Negocios accionable || Neuquén · General Roca · Buenos Aires · Todo el país","Ver Servicios | Solicitar Demo | Enviar Solicitud | Hacelo ahora (Cloud) | Ingresá ahora (Academia) | Solicitar Diagnóstico Gratuito | Ver Herramientas E-commerce","+30% Eficiencia Operativa | +40% Satisfacción Cliente | -25% Costos Administrativos | 24/7 atención | 5-7 días arranque | 30 días soporte"
"servicios","Servicios","/#servicios","Servicios / Soluciones","Ingeniería de Software de Pila Completa","Nuestra Especialización","Diseñamos sistemas que integran todas las facetas de tu negocio en una única plataforma, facilitando la gestión y el análisis de datos en tiempo real.","Nuestro Método de Trabajo: 01. Diagnóstico Inicial — Evaluamos en profundidad tus procesos actuales, sistemas heredados, planillas de Excel y flujos de trabajo repetitivos para hallar ineficiencias operativas. || 02. Estrategia & Arquitectura — Diseñamos un plan de transformación digital y especificaciones técnicas a medida de tu industria, definiendo integraciones óptimas de ERP y CRM. || 03. Implementación & Soporte — Ejecutamos el desarrollo ágil en la nube, formamos y capacitamos a tu personal con talleres presenciales y proveemos soporte técnico constante 24/7. || Clientum en números: 4 Partners de comercialización | +10 Colaboradores | +35 Clientes activos | 10+ Años de trayectoria || Descubrí la experiencia Clientum: bots de WhatsApp automatizados integrados con CRM de ventas reales que facilitan la administración de turnos y cobros sin comisiones abusivas. || Soluciones a medida: Integración API Gateway (Desde $400.000) | Clientum AI Copilot (Desde $600.000) | Desarrollo web a medida (Desde $800.000) | Pack integrado (Desde $960.000) | Business Intelligence (Desde $800.000) | Consultoría empresarial (Sin costo inicial) || Sectores que atendemos: Minoristas — Stock multicanal | Manufactura — Control de producción | Agroindustria — Trazabilidad de lote | Distribuidores — Ruteo e inventario | Servicios — CRM y automatización | Tecnología — Gestión de proyectos || Catálogo de precios de referencia — Valores orientativos en pesos argentinos · cada proyecto se cotiza a medida. || Tabla: Integración API Gateway (Basic $400k-$800k / Pro $800k-$1.4M / Enterprise $1.4M-$2M) | AI Copilot (Basic $600k-$1M / Pro $1M-$1.8M / Ent $1.8M-$2.5M) | Desarrollo Web (Basic $800k-$1.5M / Pro $1.5M-$2.5M / Ent $2.5M-$4M) | Pack Integrado (Basic $960k-$1.25M / Pro $1.75M-$2M / Ent $2.45M-$3M) | BI (Basic $800k-$1.5M / Pro $1.5M-$2.5M / Ent $2.5M-$4M) || Soluciones para Pymes: Minoristas — eCommerce 100% integrado | Manufactura — optimizar producción | Agroindustria — costos por campaña | Distribuidores y mayoristas — Logística y Reparto | Servicios — Facturación de Abonos","Ver más | Consultar disponibilidad | Agendar Videollamada Demo | Solicitá propuesta sin costo","4 Partners | +10 Colaboradores | +35 Clientes activos | 10+ Años"
"catalogo","Catálogo Completo","/#catalogo","Catálogo de servicios / Filtro","Todo lo que hacemos, en un solo lugar","Catálogo completo · 457 servicios","Filtrá por categoría o buscá por palabra clave. Cada servicio se cotiza según el alcance real del proyecto — los precios de referencia son orientativos.","Funciones y Soluciones de la Plataforma: Chatbot WhatsApp — Tu negocio atiende solo, las 24 horas | CRM Inteligente — Nunca más perdas una venta | Asistente IA — Tu analista de negocio, siempre disponible | Reportes Automáticos — Tomá decisiones con datos reales | Automatización — Hacé más con menos esfuerzo | Portal del Cliente — Tus clientes se autoatienden | Desarrollo Web — Tu presencia web, conectada al CRM | Integraciones — Conecta tu CRM con WhatsApp, AFIP y más | Academia — Cursos gratis de CRM y automatizaciones | Casos de Éxito — Historias de éxito de PyMEs reales | Planes y Precios | Nuestros Clientes (+35 empresas) || Búsqueda por palabra clave | Filtro por categoría (15 categorías) | Exportar todo a WooCommerce · CSV || ¿No encontrás lo que necesitás? Armamos algo a medida para tu negocio.","Exportar todo a WooCommerce · CSV | Consultar | Contanos tu caso","457 servicios | 15 categorías"
"planes","Planes y Precios","/#planes","Pricing / Planes","Planes Transparentes para Todos","Nuestra Oferta Comercial","Ofrecemos soluciones adaptadas a las necesidades de cada cliente. Nuestros planes están diseñados para brindar servicios de alta calidad, asegurando que cada empresa encuentre el soporte adecuado para su crecimiento.","Calculador Comparativo Inteligente de Planes — Mueve las barras para simular la escala de tu negocio en número de proyectos y páginas web. Te recomendaremos el plan exacto. || Todos los planes incluyen: Aplicación de escritorio y móvil | Estimaciones de tiempos operacionales | Facturación integrada y link de cobros | Reportes automatizados de métricas || Plan Inicial ($20/mes): Para emprendedores e iniciativas pequeñas. Web: Landing page responsiva | CRM/ERP: Embudo básico (200 cont.) | Seguridad: Respaldos mensuales | IA & BI: Bot de bienvenida fijo || Plan PyME ($45/mes): Para comercios con ventas activas. Web: Tienda online estándar | CRM/ERP: Stock + AFIP (1.000 cont.) | Seguridad: Cifrado de base de datos | IA & BI: Bot WhatsApp con FAQs || Plan Pro ($80/mes) [Más Elegido ⭐]: Para automatizar con IA, bots y facturación. Web: E-Commerce premium total | CRM/ERP: Multi-embudo ilimitado | Seguridad: Auditorías de software | IA & BI: Agente IA & BI avanzado || Plan Corporativo ($150/mes): Para empresas con múltiples canales activos. Web: Portal B2B + Web integral | CRM/ERP: Pipeline multi-sucursal | Seguridad: Hardening y firewall | IA & BI: Analítica predictiva & bots || Plan Especializado: Infraestructura y desarrollos a medida.","Exportar a WooCommerce · CSV | Seleccionar Inicial | Seleccionar PyME | Seleccionar Pro | Seleccionar Corp | Contratar Plan Recomendado | Solicitar Presupuesto","5 planes | $20/mes a Enterprise"
"nosotros","Nosotros / Quiénes Somos","/#nosotros","Empresa / About Us","Diez años construyendo tecnología a medida para las PyMEs de la Patagonia.","Nuestra Trayectoria · Desde 2016","Nacimos en 2016 en una oficina de General Roca, Río Negro. Hoy somos Clientum: CRM, IA, integraciones y desarrollo web en una sola plataforma, con más de 35 empresas e instituciones del Alto Valle como clientes activos. Anteriormente conocidos como Viaweb.","Nuestro objetivo desde el primer día: 'Alcanzar la Excelencia Empresarial' — Sistemas | Desarrollos | Promoción Digital || Números: 4 Partners de comercialización | +10 Colaboradores | +35 Clientes activos | +5M Pesos en facturación anual || ¿Por qué Viaweb? Rápida respuesta | Innovación | Satisfacción del cliente | Transformación Digital || Historia: 2016 Primera oficina Maipú 1438 General Roca | 2017 Infraestructura propia | 2018 Cloud y primeros partners Chacabuco 1302 | 2020 Datos y BI — 5 colaboradores más | 2021 Remoto y expansión México y Chile | Hoy Nace Clientum: CRM WhatsApp IA API Gateway BI Desarrollo Web AFIP MercadoPago || Misión: Excelencia empresarial, un cliente a la vez. El éxito de nuestra misión se sustenta en un equipo de profesionales calificados y una apuesta permanente a generar alianzas de excelencia con nuestros clientes. Más de diez años propiciamos un buen clima de trabajo en Clientum. || Visión: Anticiparnos a lo que las PyMEs van a necesitar. Invertir en las personas y su desarrollo profesional, construir relaciones basadas en confianza, lograr resultados sustentables. || General Roca · Río Negro · Argentina — antes Viaweb (2016–2026) || ¿Querés trabajar con nosotros? Neuquén · General Roca · Buenos Aires · Todo el país","Descargar brochure | Contactarnos","4 Partners | +10 Colaboradores | +35 Clientes | +5M ARS facturación | 10 años"
"clientes","Nuestros Clientes","/#clientes","Clientes / Social Proof","Nuestros Principales Clientes","Ecosistema empresarial del Alto Valle","Más de 35 organizaciones del Alto Valle de Río Negro y Neuquén llevan adelante su transformación digital con Clientum — desde municipios y canales de TV hasta ferreterías, farmacias, propiedades e inmobiliarias.","Estadísticas: +35 Clientes activos | 4 Organismos públicos | 3 Sectores de medios | 2016 Primer cliente || Tres patrones de transformación digital: Transformación Institucional (Sector público y gremial) | Digitalización de la Cadena de Valor (Agroindustria y distribución) | Potenciación del Retail y Servicios (Comercio B2C) || Sector Público: Canal 10 TV (canal10rn.tv) | Diario 10 (diario10.com.ar) | Municipio de General Roca (generalroca.gob.ar) | Municipio de 25 de Mayo (25demayo.gob.ar) | Municipio de Maquinchao || Medios & Comunicación: Frecuencia Urbana 887 FM (frecuenciaurbana.com.ar) || Real Estate: Aitue Propiedades (aitue.com.ar) | Terbay Propiedades (terbaypropiedades.com.ar) | Habitar Sur || Agroindustria: Consorcio de Riego General Roca | Cooperativa Frigorífico J.J. Gómez | Forestal Norte || Retail & Comercio: Lubrano Hogar | Morgado Hogar | Mafacha Ferretería Pinturería | Growlife Patagonia | Bauleras Roca | AKBAR SRL | LP SRL | AMBAR || Salud: Farmacia San Martín | Coe Consultorio | Consultorio Cerol | Grupo Bio || Automotriz: Cabarcos Motores SRL (cabarcosmotores.com.ar) | Patagonia Remolques | KJ Logística (kjlogistica.com.ar) | Naval Patagonia || Servicios Profesionales: AFP Service (afpservice.com.ar) | YendoApp (yendoapp.com.ar) | Saitt | Estudio Integra | Estudio Méndez & Asoc. | Grupo de Asesores | Anmerica || Otros: Poliservice Suministros | SCT Patagonia | Centro Empleados de Comercio || Testimonios: Terbay Propiedades — El bot califica los interesados, les envía fotos y planos, y agenda visitas solo. || Farmacia San Martín — Ahora el bot responde si tenemos el medicamento, da el precio y reserva. Liberamos horas de mostrador. || Forestal Norte — Las cartas de porte y la liquidación AFIP se hacen solas. Lo que nos llevaba medio día ahora tarda minutos. Clientum nos ahorró un empleado administrativo.","Ver sitio web (por cliente)","+35 clientes | 4 organismos públicos | 3 sectores de medios | desde 2016"
"casos","Casos de Éxito","/#casos","Casos de éxito / Portfolio","Historias de Nuestros Clientes","Casos de Éxito por Industria","Filtra nuestros proyectos realizados para ver cómo transformamos operaciones reales mediante tecnología robusta.","Filtros: Ver Todos | Retail | Salud | Inmobiliaria | Agroindustria | Medios | Automotriz | Logística | Industrial | Institucional || Grilla de proyectos: nombre de cliente, año, tipo de solución implementada, descripción, opción de solicitar solución similar. || Testimonios: Terbay Propiedades — 'El bot califica los interesados, les envía las fotos y los planos, y agenda las visitas solo. Nosotros entramos a cerrar. Fue un cambio total en la forma de trabajar.' || Farmacia San Martín — 'Antes el teléfono no paraba. Ahora el bot responde si tenemos el medicamento, da el precio y reserva. Liberamos horas de mostrador que usamos para atención personalizada.' || Forestal Norte — 'Las cartas de porte y la liquidación AFIP se hacen solas. Lo que nos llevaba medio día de oficina ahora tarda minutos. Clientum nos ahorró un empleado administrativo.'","Solicitar solución similar","10 categorías de industria"
"academia","Academia","/#academia","Academia / E-Learning","Cursos Especializados para Tu Crecimiento","Clientum Academia","Inscríbete hoy mismo en nuestros programas de formación práctica dictados por profesionales en marketing digital, finanzas, desarrollo web y automatización.","Cursos destacados con imagen, nivel, título, descripción, duración y botón Inscribirse Gratis. || Catálogo completo del campus virtual con búsqueda por palabra clave. Exportar todo a WooCommerce · CSV. || Temáticas: marketing digital, finanzas, desarrollo web, automatización, WooCommerce, CRM, ventas. || Testimonios estudiantes: Ana Giménez (Dueña de Ferretería, General Roca) — El curso de WooCommerce me permitió montar mi tienda online en dos semanas. Ahora recibo pedidos por web mientras atiendo el local. || María López (Emprendedora Regional) — Los cursos son prácticos y aplicables. Los pedidos empezaron a automatizarse desde el primer mes. || Carlos Fernández (CEO de Innovatech) — El CRM unificado cambió cómo gestionamos nuestros proyectos. La formación en automatización redujo horas de administración.","Inscribirse Gratis | Exportar todo a WooCommerce · CSV","Catálogo dinámico de cursos"
"blog","Blog y Recursos","/#blog","Blog / Recursos / Conocimiento","Recursos & Blog de Viaweb","Base de Conocimientos","Explora guías descargables en PDF, videos educativos y artículos populares para acelerar la transformación de tu PyME.","Búsqueda de artículos por palabra clave (ej: SEO, ERP). Artículos encontrados: dinámico. || Artículos con categoría, tiempo de lectura, título, descripción y enlace. || Ebooks y Guías PDF: Ebook Optimización E-commerce — Todo sobre conversiones y control de stock omnicanal (PDF gratuito en web.viaweb.net.ar). || Guía de Automatización ERP — Cómo enlazar bots de WhatsApp con transacciones. Solicitar por Email. || Videos Educativos: Accede a nuestra biblioteca de tutoriales en video para comprender mejor el uso de herramientas CRM integradas.","Leer artículo completo | Descargar PDF Gratis | Solicitar por Email | Ver Video Tutorial","Artículos filtrados dinámicamente"
"contacto","Contacto","/#contacto","Contacto / Formulario","¡Contáctanos! Estamos Listos","Canales de Atención","Estamos comprometidos con la conectividad y el progreso de la economía digital. Envíanos tu consulta.","Formulario de Contacto Directo: Nombre Completo | Correo Electrónico | Empresa | Rubro | Mensaje. || Confirmación: Gracias por ponerte en contacto con Clientum. Uno de nuestros consultores se comunicará contigo en las próximas 24 horas hábiles. || Datos de contacto: dirección, teléfono, email (dinámicos). || Canales adicionales: WhatsApp directo | Email corporativo | Mapa / ubicación. || Newsletter: Suscribite y enterate primero de las novedades de Clientum.","Enviar Consulta | Enviar otro mensaje | Iniciar Chat WhatsApp | Suscribirme","Respuesta en 24 horas hábiles"
