ID,Empresa,Monto_ARS,Etapa_CRM,Rubro,Ciudad,Direccion,Telefono,Contacto,Dolor_Atencion,MEDDIC_Score
deal-prospect-1783645986531-258,"Distribuidora Mayorista NEUQUEN EXPRESS",225000,"leads","Distribuidora Mayorista","Neuquén Capital","Catamarca 30, Q8300 Neuquén, Argentina","0299 408-1111","Sofia Rodriguez","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645985804-411,"Distribuidora Olivos SRL",240000,"leads","Distribuidora Mayorista","Neuquén Capital","Leguizamón Onesimo 236, Q8300 Neuquén, Argentina","0299 443-8216","Gustavo B.","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645984218-927,"Mayorista Villarreal",250000,"leads","Distribuidora Mayorista","Neuquén Capital","Gdor. Anaya 825, Q8300 Neuquén, Argentina","0299 621-2101","Mariano Gómez","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",50
deal-prospect-1783645983363-459,"Limay Mayorista",195000,"leads","Distribuidora Mayorista","Neuquén Capital","Int. Pedro Linares 1578, Q8300 Neuquén, Argentina","0299 517-6476","Carlos Benítez","Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.",50
deal-prospect-1783645982140-632,"Mix de Compras",180000,"leads","Distribuidora Mayorista","Neuquén Capital","Sarmiento 775, Q8300 Neuquén, Argentina","0299 402-0919","Luciana Silva","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645976281-645,"Autoservicio Mayorista Rivero",280000,"leads","Distribuidora Mayorista","General Roca","Vintter 1232, R8332 Gral. Roca, Río Negro, Argentina","0298 464-6150","Gustavo B.","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",50
deal-prospect-1783645975002-464,"Autoservicio Mayorista Multipack Don Tomás",225000,"leads","Distribuidora Mayorista","General Roca","Cerro Tronador 1234, R8332, Río Negro, Argentina","0298 433-5380","Sofia Rodriguez","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",57
deal-prospect-1783645973836-380,"Distribuidora Luque",250000,"leads","Distribuidora Mayorista","General Roca","Dr. Adolfo Alsina 2663, R8332 Gral. Roca, Río Negro, Argentina","0298 15-476-8385","Mariano Gómez","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",50
deal-prospect-1783645972969-240,"Distribuidora Pablo",195000,"leads","Distribuidora Mayorista","General Roca","Independencia, R8332 Gral. Roca, Río Negro, Argentina","0298 444-0642","Carlos Benítez","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645971547-847,"El DEPOSITO Distribuidora Mayorista de Bebidas",220000,"leads","Distribuidora Mayorista","General Roca","Gral. Conrado Villegas 1997 R8332, R8332 Gral. Roca, Río Negro, Argentina","Sin teléfono","Luciana Silva","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",50
deal-prospect-1783645962969-208,"M y H - Ferretería Industrial",280000,"leads","Ferretería Industrial","Neuquén Capital","C. 2 1, Neuquén, Argentina","0299 413-1813","Gustavo B.","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",50
deal-prospect-1783645961601-270,"Poliservice Suministros",225000,"leads","Ferretería Industrial","Neuquén Capital","Int. Chaneton 333, Q8300 Neuquén, Argentina","0299 442-2932","Sofia Rodriguez","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645960675-69,"Bulonera Rubino SRL",210000,"leads","Ferretería Industrial","Neuquén Capital","Gral. Manuel Belgrano 3121, Q8300 Neuquén, Argentina","0299 445-0800","Mariano Gómez","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645958932-588,"La Casa De Las Herramientas S. A.",195000,"leads","Ferretería Industrial","Neuquén Capital","Juan Julián Lastra N° 860, Q8300 Neuquén, Argentina","0299 404-1729","Carlos Benítez","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645957680-501,"Ferretería Industrial SRL",180000,"leads","Ferretería Industrial","Neuquén Capital","Misiones 482, Q8300 Neuquén, Argentina","0299 443-4251","Luciana Silva","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645951134-176,"Ferreteria JC",280000,"leads","Ferretería Industrial","General Roca","Jujuy 1381, R8332 Gral. Roca, Río Negro, Argentina","Sin teléfono","Gustavo B.","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",50
deal-prospect-1783645949590-689,"Ferretería la industrial",265000,"leads","Ferretería Industrial","General Roca","Gral. Martín Miguel de Güemes 694, R8332 Gral. Roca, Río Negro, Argentina","Sin teléfono","Sofia Rodriguez","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",50
deal-prospect-1783645948050-209,"Monti",250000,"leads","Ferretería Industrial","General Roca","Bartolomé Mitre 1501, R8332 Gral. Roca, Río Negro, Argentina","0298 442-9756","Mariano Gómez","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.",50
deal-prospect-1783645946367-819,"Ferreterías y Pinturerías ""Mafacha""",195000,"leads","Ferretería Industrial","General Roca","Av. Mendoza 493, R8332 Gral. Roca, Río Negro, Argentina","0298 425-0524","Carlos Benítez","Pérdida de clientes potenciales los fines de semana por falta de chatbot automatizado en Instagram y WhatsApp.",50
deal-prospect-1783645944015-974,"Bulonera Patagónica",180000,"leads","Ferretería Industrial","General Roca","Dr. Adolfo Alsina 866, R8332 Gral. Roca, Río Negro, Argentina","0298 442-5370","Luciana Silva","Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.",50
1,"Distribuidora del Sur S.A.",179990,"closed","Distribuidora","","","","","",0
2,"Lácteos La Pampa mayorista",269990,"proposed","Distribuidora","","","","","",0
3,"Bodega Estancia Mendoza",179990,"bot_contact","Gastronomía","","","","","",0
4,"Campos de Balcarce",350000,"leads","Agro","","","","","",0
5,"Inmobiliaria Neuquén",89990,"leads","Inmobiliaria","","","","","",0
6,"Corralón Patagónico",179990,"proposed","Construcción","","","","","",0
