ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags
,simple,SOL-chatbot,Chatbot WhatsApp,1,"Tu negocio atiende solo, las 24 horas.","Tu negocio atiende solo, las 24 horas.",1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-crm_inteligente,CRM Inteligente,1,Nunca más perdas una venta.,Nunca más perdas una venta.,1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-asistente_ia,Asistente IA,1,"Tu analista de negocio, siempre disponible.","Tu analista de negocio, siempre disponible.",1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-reportes,Reportes Automáticos,1,Dashboards en tiempo real para decisiones basadas en datos.,Dashboards en tiempo real para decisiones basadas en datos.,1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-automatizacion,Automatización,1,Hacé más con menos esfuerzo.,Hacé más con menos esfuerzo.,1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-portal_cliente,Portal del Cliente,1,Tus clientes se autoatienden.,Tus clientes se autoatienden.,1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-desarrollo_web,Desarrollo Web,1,"Tu presencia web, conectada al CRM.","Tu presencia web, conectada al CRM.",1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-integraciones,Integraciones,1,"WhatsApp, AFIP, MercadoPago, Gmail y más de 50 servicios.","WhatsApp, AFIP, MercadoPago, Gmail y más de 50 servicios.",1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-catalogo,Catálogo Completo,1,479 servicios en 14 categorías con precios reales.,479 servicios en 14 categorías con precios reales.,1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-consultoria_erp,Consultoría & ERP,1,"Auditoría de procesos, ERP personalizado y hoja de ruta.","Auditoría de procesos, ERP personalizado y hoja de ruta.",1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-planes_precios,Planes y Precios,1,Desde $20 USD/mes. Implementación en 5 días hábiles.,Desde $20 USD/mes. Implementación en 5 días hábiles.,1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
,simple,SOL-casos,Casos de Éxito,1,Historias reales de PyMEs que multiplicaron sus ventas.,Historias reales de PyMEs que multiplicaron sus ventas.,1,0,Soluciones > Plataforma,"solucion,plataforma,clientum"
