ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags
,simple,SRV-5868,Servicios de Desarrollo de Aplicaciones Móviles,1,Desarrollo De Apps Móviles,Desarrollo De Apps Móviles,1,8000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-5918,Desarrollo de aplicaciones móviles,1,Desarrollo De Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,1,7500.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-5937,Desarrollo de Aplicaciones Móviles Nativas y Multiplataforma,1,Desarrollo De Apps Móviles,Desarrollo De Apps Móviles,1,7000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-5967,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas en tus Manos!,1,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas al Alcance de tu Mano!,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas al Alcance de tu Mano!,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-5972,Servicios de desarrollo de aplicaciones móviles con integración de tecnologías emergentes,1,Desarrollo De Aplicaciones Móviles Con Tecnologías Emergentes,Desarrollo De Aplicaciones Móviles Con Tecnologías Emergentes,1,12000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-5987,Servicios de desarrollo de aplicaciones móviles nativas con integración de realidad aumentada y realidad virtual,1,Desarrollo De Aplicaciones Móviles Con Realidad Aumentada Y Virtual,Desarrollo De Aplicaciones Móviles Con Realidad Aumentada Y Virtual,1,15000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6012,Servicios de Desarrollo de Aplicaciones Móviles Nativas con Integración de Realidad Aumentada,1,Desarrollo De Aplicaciones,Desarrollo De Aplicaciones,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6041,Servicios de Desarrollo de Aplicaciones Móviles Nativas,1,Aplicaciones Móviles Con Ar Y Vr,Aplicaciones Móviles Con Ar Y Vr,1,15000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6073,Aplicaciones Móviles,1,Desarrollo De Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6083,Desarrollo de aplicaciones móviles nativas,1,Desarrollo De Aplicaciones Móviles Nativas Con Realidad Aumentada.,Desarrollo De Aplicaciones Móviles Nativas Con Realidad Aumentada.,1,6000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6115,Desarrollo de Apps Móviles,1,Desarrollo De Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,1,8000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6157,Desarrollo de Aplicaciones Móviles Intuitivas,1,Desarrollo De Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,1,10000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6435,Servicios de desarrollo de aplicaciones móviles para empresas,1,"Servicios De Consultoría Y Construcción De Soluciones Móviles Para Mejorar La Productividad, Eficiencia Y Experiencia De Los Usuarios.","Servicios De Consultoría Y Construcción De Soluciones Móviles Para Mejorar La Productividad, Eficiencia Y Experiencia De Los Usuarios.",1,25000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6461,Creación de apps móviles,1,Servicio De Creación De Aplicaciones Móviles A Medida.,Servicio De Creación De Aplicaciones Móviles A Medida.,1,3000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6494,Desarrollo de aplicación móvil,1,Creación De Aplicaciones Móviles Personalizadas.,Creación De Aplicaciones Móviles Personalizadas.,1,3500.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6509,Desarrollo de app móvil,1,Creación De Aplicaciones Móviles Para Brindar A Los Usuarios Una Experiencia De Marca Integral.,Creación De Aplicaciones Móviles Para Brindar A Los Usuarios Una Experiencia De Marca Integral.,1,4000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6560,"Desarrollo de Apps Móviles para Ecommerce: Diseño, Implementación y Publicación",1,"Servicio de Desarrollo de Aplicaciones Móviles para E-commerce: Diseño centrado en el usuario, integración perfecta, funcionalidades avanzadas, optimización para dispositivos móviles. Mayor alcance, experiencia de compra","Servicio de Desarrollo de Aplicaciones Móviles para E-commerce: Diseño centrado en el usuario, integración perfecta, funcionalidades avanzadas, optimización para dispositivos móviles. Mayor alcance, experiencia de compra",1,12000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6579,Diseño y Desarrollo de Apps Móviles para Ecommerce: Optimiza tu Tienda Online,1,Servicio de Diseño y Desarrollo de Aplicaciones Móviles para Ecommerce,Servicio de Diseño y Desarrollo de Aplicaciones Móviles para Ecommerce,1,8000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6590,Desarrollo de Aplicaciones Móviles Nativas para Ecommerce: Mejora la Experiencia de Compra y Fideliza Clientes,1,Servicio de Desarrollo de Aplicación Móvil Nativa Para Ecommerce,Servicio de Desarrollo de Aplicación Móvil Nativa Para Ecommerce,1,12000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6653,Aplicaciones Móviles para Ecommerce: Crea tu Tienda Online en tu Bolsillo,1,Aplicaciones móviles para e-commerce: la clave para impulsar tu negocio online,Aplicaciones móviles para e-commerce: la clave para impulsar tu negocio online,1,2000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6667,Desarrollo de Apps Móviles para Ecommerce: Optimiza la Experiencia de Compra en Dispositivos Móviles,1,Desarrollo de Apps Móviles para Ecommerce: Impulsa tu Negocio Online,Desarrollo de Apps Móviles para Ecommerce: Impulsa tu Negocio Online,1,2000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6677,Desarrollo de Aplicaciones Móviles para Ecommerce: Optimiza tu Tienda Virtual para Dispositivos Móviles,1,Servicios de Desarrollo de App Móvil para Ecommerce,Servicios de Desarrollo de App Móvil para Ecommerce,1,3000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6704,Servicios de Desarrollo de Aplicaciones Móviles Ecommerce,1,Desarrollo De Aplicaciones Móviles Para Ecommerce.,Desarrollo De Aplicaciones Móviles Para Ecommerce.,1,10000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6854,Diseño avanzado de aplicación móvil,1,,,1,1.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6899,Soluciones Personalizadas para Apps,1,Apps Móviles Personalizadas.,Apps Móviles Personalizadas.,1,4200.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6907,Soluciones Personalizadas para Móviles,1,Soluciones Móviles Personalizadas.,Soluciones Móviles Personalizadas.,1,4000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6913,Soluciones Personalizadas para Plataformas Móviles,1,Soluciones Móviles Personalizadas.,Soluciones Móviles Personalizadas.,1,3000.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-6917,Soluciones Personalizadas para Diferentes Plataformas,1,Soluciones Móviles Personalizadas.,Soluciones Móviles Personalizadas.,1,5500.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7581,Desarrollo a medida de aplicaciones móviles,1,Desarrollo De Apps Móviles,Desarrollo De Apps Móviles,1,1200.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7650,Servicios de Desarrollo de Aplicaciones Móviles,1,Desarrollo De Apps Móviles,Desarrollo De Apps Móviles,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7700,Desarrollo de aplicaciones móviles,1,Desarrollo De Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7719,Desarrollo de Aplicaciones Móviles Nativas y Multiplataforma,1,Desarrollo De Apps Móviles,Desarrollo De Apps Móviles,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7735,Servicios de desarrollo de aplicaciones móviles con integración de tecnologías emergentes,1,Desarrollo De Aplicaciones Móviles Con Tecnologías Emergentes,Desarrollo De Aplicaciones Móviles Con Tecnologías Emergentes,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7750,Servicios de desarrollo de aplicaciones móviles nativas con integración de realidad aumentada y realidad virtual,1,Desarrollo De Aplicaciones Móviles Con Realidad Aumentada Y Virtual,Desarrollo De Aplicaciones Móviles Con Realidad Aumentada Y Virtual,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7775,Servicios de Desarrollo de Aplicaciones Móviles Nativas con Integración de Realidad Aumentada,1,Desarrollo De Aplicaciones,Desarrollo De Aplicaciones,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7787,Servicios de Desarrollo de Aplicaciones Móviles Nativas,1,Aplicaciones Móviles Con Ar Y Vr,Aplicaciones Móviles Con Ar Y Vr,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7807,Desarrollo de aplicaciones móviles nativas,1,Desarrollo De Aplicaciones Móviles Nativas Con Realidad Aumentada.,Desarrollo De Aplicaciones Móviles Nativas Con Realidad Aumentada.,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-7839,Desarrollo de Apps Móviles,1,Desarrollo De Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,1,0.00,Servicios > Aplicaciones Móviles,"servicio,clientum"
