ID,Sección / Pantalla,Tipo,Título Principal,Descripción / Subtítulo,Campos / Inputs,Botones y CTAs,KPIs / Stats Mostrados,Filtros / Opciones Disponibles,Funcionalidad IA (Gemini),Datos de Muestra / Placeholders,Columnas de Tabla / CSV Exportable,Estados Especiales (vacío / carga / error),Notas Técnicas
"header","Header Global — AI Client Prospector","Header fijo","AI CLIENT PROSPECTOR","Sistema integral de prospección B2B, calificación MEDDIC y automatización de outreach en la Patagonia. Badge: v2.0 PRO","","Exportar CSV (descarga pipeline como ai_client_prospector_pipeline.csv) | Volver al Editor | Cerrar sesión","","","","currentUsername mostrado en tooltip de botón ""Cerrar sesión""","CSV pipeline: ID, Empresa, Monto_ARS, Etapa_CRM, Rubro, Ciudad, Direccion, Telefono, Contacto, Dolor_Atencion, MEDDIC_Score","Banner de resiliencia (amarillo/verde) cuando se usa fallback de Gemini o Google Places alternativo","Sidebar izquierdo (w-56) con 16 items de navegación. Header bg-slate-900. Props: brochureData, hidePrices, currentUserRole, colorTheme."
"sidebar_nav","Sidebar Navigation","Menú lateral","Pipeline, Prospección & Comunicación","Menú unificado vertical con 16 ítems de navegación. El ítem activo se resalta con bg-emerald-50.","","","","","","CRM Pipeline | Productos | Vendedores | Sucursales | ICP Builder (Definí tu cliente ideal) | Patagonia Explorer (Buscá y calificá leads reales) | Calificación MEDDIC (Auditá el potencial de cada lead) | Outreach Campaigns (Generá campañas de contacto) | Conversaciones | Bot | Brochure | Configuración | Contenido | Copiloto IA | Actividad | Creación Rápida","","","Icons: Compass, Package, Users, Building2, Target, Search, Award, Mail, MessageSquare, Bot, FileText, Sliders, Edit3, Sparkles, Clock, PlusCircle"
"pipeline","CRM Pipeline — Tablero Kanban v2.0","Dashboard + Kanban","Tablero Kanban de Ventas v2.0","Pipeline visual de 4 columnas con métricas ejecutivas, checklist de acciones y alertas estratégicas en tiempo real.","Formulario ""Nuevo Lead Manual"": Empresa (text, placeholder ""Ej. Distribuidora Comahue"") | Valor Estimado ARS (number, placeholder ""Ej. 180000"") | Contacto Directo (text, placeholder ""Ej. Marcos Ramirez (Dueño)"") | Teléfono Local (text, placeholder ""Ej. +54 298 4432120"") | Rubro Comercial (select, 9 opciones) | Etapa del Embudo (select, 4 opciones)","Nuevo Lead Manual | Guardar Lead | Cancelar | → (mover etapa siguiente) | ← (mover etapa anterior) | MEDDIC: X% (ir a calificar) | Outreach (ir a campaña) | Score (ir a MEDDIC) | Eliminar (Trash2) | Exportar CSV","Valor Total Pipeline (ARS) | Facturación Ganada (ARS) | Prospectos Activos (Leads count) | Tasa de Conversión (% Win-Rate)","Etapas del embudo: Nuevos Leads (azul) | WhatsApp Bot (verde) | Propuesta (índigo) | Ganados/Closed (esmeralda)","","Etapas: leads / bot_contact / proposed / closed | Rubro opciones: Distribuidora Mayorista, Bodega de Vinos, Inmobiliaria & Alquileres, Corralón de Construcción, Clínica de Salud / Estética, Empaque de Fruta / Manzana, Gastronomía & Restorán, Ferretería Industrial, Logística & Transporte | Bot mensaje: ""Hola! Registramos tu interés en la propuesta para el rubro..."" | Closed badge: ""Facturado & AFIP Clase A""","","Columna vacía: no muestra mensaje especial, sólo columna vacía | Propuesta sin MEDDIC: ""⚠️ Requiere calificación MEDDIC para avanzar con seguridad""","Checklist de acciones al costado derecho (3ª col del grid). 5 tareas default: Buscar 5 nuevos prospectos locales, Investigar señales de compra, Calificar MEDDIC en Propuesta, Generar secuencias outreach, Enviar correos seguimiento. Alertas: ""Alerta de Riesgo Comercial"" (sin MEDDIC), ""Cuello de Botella en Entrada""."
"icp","ICP Builder — Generador de Perfil de Cliente Ideal","Formulario + Output IA","Ideal Customer Profile (ICP) Builder","Definí tu cliente ideal para alinear tus esfuerzos comerciales. La IA analizará la facturación de tu público objetivo, el tamaño corporativo y los tomadores de decisiones para generar un perfil MEDDIC detallado en segundos.","Rubro de la Empresa (select: 9 rubros predefinidos + ""Otro rubro personalizado..."") | Rubro Personalizado (text, aparece si se elige ""OTRO"", placeholder ""Ej. Veterinaria o Taller"") | Monto de Contrato Promedio ACV (text, default ""$180.000 ARS/mes"")","Generar Perfil ICP (con Sparkles IA) | ""Analizando con IA..."" (estado de carga con spinner)","","","API /api/generate → action: ""buildICP"" payload: { industry, acv }. Genera: industry, arrRange, employeeCount, stage, growthRate, decisionMakerRole, decisionMakerSeniority, budgetAuthority, painPoints[], avgContractValue, salesCycle, winRatePotential, ltvToCac, regions, timeZones, meddicMetrics, meddicEconomicBuyer, meddicDecisionCriteria, meddicDecisionProcess, meddicIdentifyPain, meddicChampion. Persiste en localStorage(""clientum_icp_data"").","ICP Output: 4 cards + 1 tabla MEDDIC: 🏢 Perfil Corporativo (Rubros Verticales, ARR, Empleados, Etapa Negocio, Tasa Crecimiento) | 👤 Tomador de Decisiones Key (Rol Principal, Seniority, Autoridad Presupuesto, Puntos de Dolor Críticos) | 💰 Impacto Financiero (Valor Contrato Promedio, Ciclo de Venta Promedio, Potencial de Conversión, LTV:CAC Objetivo) | 📍 Foco Geográfico (Regiones Foco, Husos Horarios) | ✅ Criterios MEDDIC de Conversión (6 criterios)","","Sin ICP generado: ""Todavía no has generado un Perfil de Cliente Ideal. Seleccioná un rubro y hace clic en Generar Perfil ICP..."" | Loading: RefreshCw spinner ""Analizando con IA...""","Persiste en localStorage. Badge ""Generado por IA v2.0"" en el output. Fallback activo si API Gemini con alta demanda."
"research","Patagonia Explorer — Buscador Satelital","Búsqueda + Mapa interactivo","Buscador Patagónico Satelital","Encontrá y calificá prospectos de Río Negro y Neuquén basándose en datos reales de Google Maps y su presencia en la Guía Cores.","Provincia (toggle: Río Negro / Neuquén) | Ciudad Local (select, varía por provincia) | Rubro de Negocio (select: 9 rubros + ""Otro"") | Rubro Personalizado (text, si OTRO, placeholder ""Ej. Taller Mecánico, Farmacia"") | Filtros Dinámicos: Distancia Máxima (radio: Cualquier / <2km / <5km / <10km) | Rango de Precios Google (radio: Todos / $ Económico / $$ Moderado / $$$ Premium) | Calificación Mínima (radio: Todos / 3.5★ / 4.0★ / 4.5★)","Buscar Leads en [Ciudad] | Descargar CSV | Agregar a CRM | Lead en CRM (disabled si ya está) | Configurar Clave Real ⚙️ | Ir a Guía Cores (link externo) | Configurar Clave (settings icon)","Prospectos Encontrados (X de Y total) | Filtrado dinámico por distancia, precio y reputación en tiempo real","Ciudades Río Negro: General Roca, Cipolletti, San Carlos de Bariloche, Viedma, Villa Regina, Allen, Cinco Saltos, Catriel, San Antonio Oeste | Ciudades Neuquén: Neuquén Capital, Plottier, Centenario, Zapala, Cutral Co, Plaza Huincul, San Martín de los Andes, Villa La Angostura, Chos Malal | 9 rubros preset","API /api/generate → action: ""prospectLeads"" payload: { city, industry, googleMapsPlatformKey }. Retorna: prospects[{ company, industry, amount, city, address, phone, contact, painPoint, score, guiacoresUrl, rating, priceLevel, distance }]. Auto-enrich: /api/enrich-contact (Hunter.io) para hasta 10 dominios con stagger 600ms.","Card prospecto: Empresa | Rubro | $ Contrato Sugerido | Dirección | Teléfono | Contacto | Fit Score (X/10) | Diagnóstico Comercial (painPoint) | Rating ★ | Precio $/$$/$$$ | Distancia km | ""Haz clic para ver en mapa""","CSV Prospectos: Empresa, Rubro, Monto Sugerido ARS, Ciudad, Provincia, Direccion, Telefono, Contacto, Fit Score, Dolor Diagnosticado, Calificacion Google, Rango de Precio, Distancia km, Link Guia Cores. Nombre: Leads_Clientum_[Ciudad]_[Rubro].csv","Sin búsqueda: ""No se encontraron búsquedas activas... Elegí la localidad y el rubro"" | Loading: ""Analizando registros de la Patagonia... Buscando en la Guía Cores comercios activos en [ciudad]..."" | Sin API key: ""Prospección Local Simulada ⚠️"" | Con API key: ""Buscador Google Maps Activo ✅"" | Mapa sin prospecto: ""Ningún prospecto seleccionado para visualizar""","Mapa interactivo local SVG (no Google Maps iframe): pines arrastrables, zoom por ciudad. Bariloche → Lago Nahuel Huapi. Viedma → Río Negro. Resto → Río Limay / Confluencia. Estado: ONLINE (Google) / MODO SIMULADO. Clientum Lead Mining v2.0. Google Places API Key guardada en localStorage(""custom_google_maps_key"")."
"meddic","Calificación MEDDIC — Scorecard de Lead","Evaluación interactiva por estrellas","MEDDIC Qualification Assessment Scorecard","Sistema de puntuación de 6 criterios (1-5 estrellas c/u) para auditar el potencial de conversión de cada lead del pipeline.","Selector de lead (lista de deals activos, no ""closed"") | M - Metrics Defined: slider de 5 estrellas | E - Economic Buyer: slider de 5 estrellas | D - Decision Criteria: slider de 5 estrellas | D - Decision Process: slider de 5 estrellas | I - Identify Pain: slider de 5 estrellas | C - Champion Identified: slider de 5 estrellas | Red Flags / Deal Breakers (textarea, placeholder ""Mencione cualquier riesgo técnico, retraso presupuestario o competidor que amenace la venta..."")","Guardar Calificación MEDDIC | (desde pipeline) → MEDDIC: X%","Score 0-100 dinámico (fórmula: suma 6 criterios / 30 * 100) | Estado: CRITICAL (<40%) / AT RISK (40-60%) / STABLE (60-80%) / OPTIMIZED (>80%) | Labels de temperatura: HOT 🔥 Alta Conversión (≥75) / WARM ⚡ Medianamente Calificado (≥45) / COLD ❄ Baja Calificación (<45)","Solo muestra leads con stage ≠ ""closed""","No llama IA directamente. Genera ""Next Best Actions"" algorítmicamente según criterios bajos: Metrics<3→cuantificar ROI | Buyer<3→encontrar Economic Buyer | Criteria<3→alinear propuesta técnica | Process<3→demo 15min WhatsApp Bot | Pain<4→confirmar dolor en gerencia | Champion<3→fidelizar líder de ventas interno. Si score≥50: ""Enviar propuesta comercial formal Clase A, Agendar llamada de cierre, Iniciar onboarding técnico"".","M: ""¿El cliente tiene métricas cuantificables de ahorro de tiempo y aumento de ventas que el bot/CRM de Clientum le solucionará?"" | E: ""¿Hablás directamente con la persona que tiene la chequera o presupuesto para autorizar la compra (ej. el Socio Gerente)?"" | D Criteria: ""¿Están claros sus criterios de evaluación (ej. integración con WhatsApp, costo del plan, soporte, seguridad de datos)?"" | D Process: ""¿Conocés exactamente los pasos que toma para comprar (demo, aprobación de finanzas, firma de contrato y cronograma)?"" | I Pain: ""¿Tenés confirmado el dolor profundo del negocio (ej. pérdida de $200.000 ARS en ventas por responder consultas tarde)?"" | C Champion: ""¿Tenés un Champion o defensor interno (ej. coordinador de ventas) que esté presionando para cerrar la compra?""","Persiste en CRMDeal: meddicMetrics, meddicBuyer, meddicCriteria, meddicProcess, meddicPain, meddicChampion, meddicScore, meddicRedFlags, meddicNextActions[]","Sin lead seleccionado: ícono Award pulsante + ""Seleccioná un lead de la columna izquierda para auditar su nivel de calificación MEDDIC"" | Sin leads activos: ""No hay leads activos en el CRM para calificar. ¡Buscá leads en el mapa o registrá uno manual!""","Score inicial de nuevo lead manual: meddicScore: 40. Score prospecto de mapa con score≥8: meddicMetrics:4, else 3. Red flags default: ""Aún no se ha identificado un Champion clave dentro de la PyME."" Alert JS al guardar: ""¡Calificación MEDDIC actualizada y guardada con éxito!"""
"outreach","Outreach Campaigns — Generador de Campañas","Generador IA multi-canal","Outreach Campaigns — Secuencias de Contacto","Generá automáticamente campañas de outreach personalizadas multi-canal (3 emails + LinkedIn + llamada telefónica) para cada lead del pipeline usando IA.","Selector de lead (lista de todos los deals) | Sub-tabs de canal: Email 1 | Email 2 | Email 3 | LinkedIn | Llamada/SMS","Generar Campaña Outreach (con Sparkles) | ""Generando con IA..."" (loading) | Copiar Correo | Copiar Guion | Copiar (LinkedIn step) | ""¡Copiado!"" (feedback 2s) | (desde pipeline) → Outreach","","Sub-tabs: email1 (Email de Apertura) | email2 (Email de Seguimiento 2) | email3 (Email de Cierre / Break-up) | linkedin (Secuencia LinkedIn Multi-Paso) | phone (Guion Telefónico / Elevador de Prospección)","API /api/generate → action: ""generateOutreach"" payload: { company, contact, title, industry, painPoint }. Retorna: email1Body, email2Body, email3Body, linkedinSequence[], phoneScript. Fallback si alta demanda en Gemini: templates locales preconfigurados.","Asunto Email 1: ""Consulta rápida para [Empresa] - Automatización en WhatsApp"" | Asunto Email 2: ""Re: Consulta rápida para [Empresa] - Un dato de conversión"" | Asunto Email 3: ""Último intento / Solución para [Empresa]"" | Email 2 fallback: PyMEs con bot WhatsApp aumentaron ventas un 40% el primer mes, respondiendo consultas en <2 min. | Email 3 fallback: ""Clientum se instala en 5 días y se paga solo con 2 ventas ganadas."" | LinkedIn 4 pasos: Solicitud+nota → Compartir artículo de valor (día +2) → Propuesta directa (día +4) → Seguimiento final (día +7) | Guion teléfono: ""Hola [Contacto], ¿cómo estás? Te habla de Clientum... ¿tu equipo está dando abasto con las consultas que les entran por WhatsApp...?""","Persiste en CRMDeal: outreachEmail1, outreachEmail2, outreachEmail3, outreachLinkedIn[], outreachPhoneScript","Sin lead seleccionado: Mail pulsante + ""Ningún lead seleccionado para la campaña de Outreach. Elegí uno de tus prospectos..."" | Sin campaña generada: Mail pulsante + ""No se ha generado ninguna campaña para este lead. Hacé clic en Generar Campaña Outreach...""","copySuccess feedback de 2 segundos por canal. Texto seleccionable (select-all class). Tabs horizontales de canal. Acceso directo desde columna ""WhatsApp Bot"" del Kanban."
"research_deep","Investigación Profunda de Prospecto (Deep Research)","IA inline en cards de Patagonia Explorer","Ficha de Investigación Profunda","Disponible desde cada card de prospecto en Patagonia Explorer. Genera ficha detallada de un lead específico con datos de contacto enriquecidos, señales de compra y scoring de fit.","","Investigar [empresa] (botón inline en card, con Loading ""Investigando..."")","fitScore: X/10 | Señales de compra activas | Contactos clave con email y LinkedIn","","API /api/generate → action: ""researchProspect"" payload: { company, industry, city }. Retorna: keyContacts[{name, email, linkedin, title}], buyingSignals[], fitScore, fitReasoning, phone, address. Persiste en localStorage(""clientum_detailed_research"").","","Enriquece CRMDeal con: contactEmail, contactLinkedIn, contactTitle, buyingSignals[], fitScore, fitReasoning","Loading: spinner en botón ""Investigar [empresa]""","Enriquecimiento Hunter.io automático para hasta 10 prospects con website. Stagger 600ms entre requests. También: /api/enrich-contact con domain → contacts[{name, email, position, linkedin, confidence}]."
"productos","Productos","Módulo delegado a CrmFullApp","Productos","Tab que delega su contenido al componente CrmFullApp con activeTabOverride=""products"". Gestión del catálogo de productos/servicios del CRM.","","","","","","","","","Renderizado via <CrmFullApp activeTabOverride=""products"">. Ver CrmFullProducts.tsx para contenido completo."
"vendedores","Vendedores","Módulo delegado a CrmFullApp","Vendedores","Tab que delega su contenido al componente CrmFullApp con activeTabOverride=""sellers"". Gestión del equipo de ventas.","","","","","","","","","Renderizado via <CrmFullApp activeTabOverride=""sellers"">. Ver CrmFullSellers.tsx para contenido completo."
